title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
Kate & Leopold,Comedy Fantasy Romance Science Fiction,Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne,James Mangold,6.0,11.940711,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",kate   leopold,scientist ex boyfriend discovers portal travel time brings back 19th century nobleman named leopold prove skeptical kate reluctantly take responsibility showing leopold 21st century time kate spends leopold harder fall return time absence forever alter history,meg ryan hugh jackman liev schreiber breckin meyer natasha lyonne,james mangold
Bedazzled,Fantasy Comedy Romance,Elizabeth Hurley Brendan Fraser Frances O'Connor Orlando Jones Paul Adelstein,Harold Ramis,5.6,19.348007,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",bedazzled,elliot richardson suicidal techno geek given seven wish turn life around meet seductive satan catch soul wish include 7 foot basketball star rock star hamburger could expected devil must put little twist fantasy,elizabeth hurley brendan fraser frances o connor orlando jones paul adelstein,harold ramis
The Cotton Club,Music Drama Crime Romance,Richard Gere Gregory Hines Diane Lane Lonette McKee Bob Hoskins,Francis Ford Coppola,6.6,8.59075,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.",the cotton club,story people frequented harlem famous nightclub cotton club ran,richard gere gregory hines diane lane lonette mckee bob hoskins,francis ford coppola
3:10 to Yuma,Western,Russell Crowe Christian Bale Logan Lerman Dallas Roberts Peter Fonda,James Mangold,6.9,48.801089,"In Arizona in the late 1800's, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",3 10 to yuma,arizona late 1800 infamous outlaw ben wade vicious gang thief murderer plagued southern railroad wade captured civil war veteran dan evans struggling survive drought plagued ranch volunteer deliver alive 3 10 yuma train take killer trial,russell crowe christian bale logan lerman dallas roberts peter fonda,james mangold
Taken 3,Thriller Action,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Olivier Megaton,6.1,88.844777,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",taken 3,ex government operative bryan mill find life shattered falsely accused murder hit close home pursued savvy police inspector mill employ particular set skill track real killer exact unique brand justice,liam neeson forest whitaker maggie grace famke janssen dougray scott,olivier megaton
Out of Sight,Romance Comedy Crime,George Clooney Jennifer Lopez Ving Rhames Don Cheadle Albert Brooks,Steven Soderbergh,6.5,16.000178,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves ï¿½ï¿½ï¿½ and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sig""a sly, sexy, vastly entertaining film.""",out of sight,meet jack foley smooth criminal bend law determined make one last heist karen sisco federal marshal chooses right move wrong guy willing risk find law variety hail sig sly sexy vastly entertaining film,george clooney jennifer lopez ving rhames don cheadle albert brooks,steven soderbergh
The Cable Guy,Comedy Drama Thriller,Jim Carrey Matthew Broderick Leslie Mann Jack Black George Segal,Ben Stiller,5.7,19.525659,"When recently single Steven moves into his new apartment, cable guy Chip comes to hook him up -- and doesn't let go. Initially, Chip is just overzealous in his desire to be Steven's pal, but when Steven tries to end the ""friendship,"" Chip shows his dark side. He begins stalking Steven, who's left to fend for himself because no one else can believe Chip's capable of such behavior.",the cable guy,recently single steven move new apartment cable guy chip come hook let go initially chip overzealous desire steven pal steven try end friendship chip show dark side begin stalking steven left fend one else believe chip capable behavior,jim carrey matthew broderick leslie mann jack black george segal,ben stiller
Earth,Drama,Aamir Khan Nandita Das Maia Sethna Kitu Gidwani Arif Zakaria,Deepa Mehta,6.6,1.246883,It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl bears witnesses to tragedy as her ayah is caught between the love of two men and the rising tide of political and religious violence.,earth,1947 borderline india pakistan drawn young girl bear witness tragedy ayah caught love two men rising tide political religious violence,aamir khan nandita das maia sethna kitu gidwani arif zakaria,deepa mehta
Dick Tracy,Adventure Action Comedy Thriller Crime,Warren Beatty Al Pacino Madonna Charlie Korsmo Glenne Headly,Warren Beatty,5.9,7.859226,"The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,",dick tracy,comic strip detective find life vastly complicated breathless mahoney make advance towards trying battle big boy caprice united mob,warren beatty al pacino madonna charlie korsmo glenne headly,warren beatty
The Thomas Crown Affair,Drama Crime Romance,Pierce Brosnan Rene Russo Denis Leary Ben Gazzara Frankie Faison,John McTiernan,6.6,18.102572,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",the thomas crown affair,rich successful playboy amuses stealing artwork may met match seductive detective,pierce brosnan rene russo denis leary ben gazzara frankie faison,john mctiernan
Riding in Cars with Boys,Comedy Drama Romance,Drew Barrymore Steve Zahn Adam Garcia Brittany Murphy Logan Lerman,Penny Marshall,6.5,7.226115,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.",riding in cars with boys,single mother dream becoming writer son age 15 1965 go failed marriage drug addicted father,drew barrymore steve zahn adam garcia brittany murphy logan lerman,penny marshall
First Blood,Action Adventure Thriller War,Sylvester Stallone Richard Crenna Brian Dennehy Bill McKinney Jack Starrett,Ted Kotcheff,7.2,63.071046,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",first blood,former green beret john rambo harassed local law enforcement arrested vagrancy vietnam vet snap run hill rat tat tat way action movie hall fame hounded relentless sheriff rambo employ heavy handed guerilla tactic shake cop tail,sylvester stallone richard crenna brian dennehy bill mckinney jack starrett,ted kotcheff
Solaris,Drama Science Fiction Adventure Mystery,Donatas Banionis Natalya Bondarchuk Jüri Järvet Anatoliy Solonitsyn Nikolay Grinko,Andrei Tarkovsky,7.7,24.132271,"Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.",solaris,ground control receiving strange transmission three remaining resident solaris space station cosmonaut psychologist kris kelvin sent investigate experience strange phenomenon afflict solaris crew sending voyage darkest recess consciousness based novel name polish author stanislaw lem,donatas banionis natalya bondarchuk j ri j rvet anatoliy solonitsyn nikolay grinko,andrei tarkovsky
Happily N'Ever After,Animation Comedy Family Fantasy Science Fiction,George Carlin Andy Dick Sarah Michelle Gellar Lisa Kaplan Michael McShane,Yvette Kaplan Paul Bolger Greg Tiernan,4.6,10.410933,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",happily n ever after,alliance evil doer led frieda look take fairy tale land ella realizes stepmother ruin storybook existence take dramatic turn blossom leader resistance effort,george carlin andy dick sarah michelle gellar lisa kaplan michael mcshane,yvette kaplan paul bolger greg tiernan
Mary Reilly,Drama Horror Thriller Romance,Julia Roberts John Malkovich George Cole Michael Gambon Glenn Close,Stephen Frears,5.7,6.067212,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",mary reilly,housemaid fall love dr jekyll darkly mysterious counterpart mr hyde,julia roberts john malkovich george cole michael gambon glenn close,stephen frears
My Best Friend's Wedding,Comedy Romance,Julia Roberts Dermot Mulroney Cameron Diaz Rupert Everett Philip Bosco,P.J. Hogan,6.3,15.401855,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",my best friend s wedding,receives word longtime platonic pal michael neal getting married debutante kimberly wallace food critic julianne potter realizes true feeling michael set sabotage wedding,julia roberts dermot mulroney cameron diaz rupert everett philip bosco,p j  hogan
America's Sweethearts,Comedy Romance,Julia Roberts Billy Crystal Catherine Zeta-Jones John Cusack Hank Azaria,Joe Roth,5.5,10.698929,"In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found it's only print kidnapped by the director.",america s sweethearts,midst nasty public breakup married movie star studio publicist scramble put cap escalating situation couple latest film found print kidnapped director,julia roberts billy crystal catherine zeta jones john cusack hank azaria,joe roth
